PyScript, Energy (Joule)
bench_tree_n1_4_n2_4.py,84.66906844344344
bench_plot_lasso_path_26.py,137.28041868651488
bench_tree_n1_6_n2_8.py,166.73469395063577
plot_outlier_detection_wine.py,23.8356847826087
plot_iris_logistic.py,10.638707655021832
bench_plot_lasso_path_31.py,125.03124874142725
bench_plot_lasso_path_124.py,224.75927044549766
plot_label_propagation_digits.py,14.070522556363638
bench_plot_lasso_path_104.py,413.8268813079179
bench_plot_lasso_path_52.py,150.54873056041333
plot_gpr_prior_posterior.py,29.48875160983606
plot_discretization_strategies.py,18.585792300791553
plot_johnson_lindenstrauss_bound.py,314.25730711961467
bench_plot_lasso_path_16.py,89.21394763636363
plot_out_of_core_classification.py,171.32779570290413
plot_regression.py,11.669594594594594
bench_tree_n1_7_n2_5.py,211.76214931727307
plot_separating_hyperplane_unbalanced.py,10.912183406113536
plot_learning_curve.py,78.61323681469115
bench_plot_lasso_path_53.py,73.2470440961832
plot_lasso_coordinate_descent_path.py,12.269226899581591
plot_bias_variance.py,21.940863425357875
plot_isotonic_regression.py,10.230079112244898
plot_classifier_chain_yeast.py,218.88091145985402
plot_gmm_covariances.py,12.786550514084507
plot_compare_gpr_krr.py,363.6075716129032
plot_adaboost_multiclass.py,118.82540414869888
plot_successive_halving_heatmap.py,110.79201781587776
bench_tree_n1_5_n2_7.py,129.7144181549852
plot_monotonic_constraints.py,69.77982503587444
plot_species_kde.py,219.45202419551163
plot_face_compress.py,27.823645928571427
bench_tree_n1_5_n2_10.py,138.44910770605878
bench_plot_lasso_path_91.py,326.59228840640895
bench_plot_lasso_path_62.py,132.0242044901186
bench_plot_lasso_path_142.py,401.8692923855157
plot_lda.py,298.33163830146134
plot_gpr_noisy_targets.py,34.72088708783784
bench_plot_lasso_path_13.py,223.56268244613918
bench_tree_n1_3_n2_8.py,73.92348781561087
bench_tree_n1_6_n2_3.py,168.2612573730454
plot_missing_values.py,221.4098900296736
bench_tree_n1_3_n2_4.py,61.41109138709677
plot_all_scaling.py,76.51414037996545
plot_multilabel.py,12.789547158671587
plot_stock_market.py,365.7457310647192
bench_tree_n1_5_n2_5.py,125.36749734160242
plot_ward_structured_vs_unstructured.py,13.843716584269663
plot_nca_illustration.py,11.480637149779737
plot_permutation_importance.py,74.40576081904761
bench_random_projections.py,248.96265000897935
plot_poisson_regression_non_normal_loss.py,603.5570326104743
plot_species_distribution_modeling.py,68.87089589483283
plot_svm_tie_breaking.py,19.12137994326241
bench_plot_lasso_path_116.py,334.9540367074468
